file_name,text
01.png,"tigersticker_unique001, no humans, animal focus, tiger, animal, full body, from behind, simple background, solo, transparent background, looking back"
02.png,"tigersticker_unique001, tiger, animal focus, no humans, tongue out, tongue, simple background, full body, solo, animal, lying, white background, spread legs"
03.png,"tigersticker_unique001, tiger, animal focus, no humans, animal, transparent background, freckles, solo, simple background, looking at viewer, closed mouth, food focus"
04.png,"tigersticker_unique001, tiger, animal focus, no humans, animal, solo, simple background, facial hair, full body, looking at viewer, animalization, transparent background, thick eyebrows"
05.png,"tigersticker_unique001, tiger, no humans, animal focus, simple background, full body, animal, solo, white background, pawpads, arm up, sitting, animal hands, white fur"
06.png,"tigersticker_unique001, no humans, on back, lying, animal focus, tiger, :3, simple background, animal, full body, white background, solo, prototype design, closed mouth, limited palette"
07.png,"tigersticker_unique001, tiger, no humans, animal focus, simple background, white background, animal, floating, shadow, solo, wide-eyed"
08.png,"tigersticker_unique001, tiger, no humans, animal focus, solo, freckles, simple background, animal, sitting, full body, transparent background, steam, orange fur"
09.png,"tigersticker_unique001, tiger, no humans, animal focus, simple background, full body, closed eyes, stretching, animal, solo, closed mouth, freckles, white background, year of the tiger"
10.png,"tigersticker_unique001, tiger, no humans, animal focus, animal, simple background, solo, full body, year of the tiger, looking at viewer, white background"
11.png,"tigersticker_unique001, tiger, no humans, animal focus, animal, full body, simple background, lying, solo, on stomach, freckles, whiskers, transparent background, tail"
12.png,"tigersticker_unique001, tiger, animal focus, no humans, solo, blank eyes, animal, sitting, o_o, white background, simple background, full body, tiger boy, chibi, white fur, orange fur, tiger ears, male focus"
13.png,"tigersticker_unique001, tiger, no humans, animal focus, simple background, full body, closed eyes, solo, lying, sleeping, animal, on back, closed mouth, white background, :3"
14.png,"tigersticker_unique001, tiger, animal focus, no humans, tongue, tongue out, animal, full body, simple background, looking at viewer, pawpads, solo, freckles, white background, sitting"
15.png,"tigersticker_unique001, tiger, no humans, animal focus, solo, full body, simple background, animal hands, sitting, animal, pawpads, white fur, white background, wide-eyed, transparent background, furry"
16.png,"tigersticker_unique001, tiger, peeking out, solo, transparent background, male focus, looking at viewer, open mouth, simple background, tiger boy"
